listing_id,title,title_url,price,dates,age,usage,condition
9909555,Game of thrones 5 books Negotiable,https://abudhabi.dubizzle.com/classified/books/fiction/actionadventure/2017/4/15/game-of-thrones-5-books-negotiable-3/?back=L2NsYXNzaWZpZWQvYm9va3MvP3BhZ2U9MQ%3D%3D&pos=2,AED 300,2017-04-15,Brand New,Never Used,Flawless
9909554,Books,https://dubai.dubizzle.com/classified/books/fiction/other/2017/4/15/books-2-2/?back=L2NsYXNzaWZpZWQvYm9va3MvP3BhZ2U9MQ%3D%3D&pos=3,AED 45,2017-04-15,1-6 months,Used Once,Flawless
9909553,الرجال من المريخ، النساء من الزهرة,https://dubai.dubizzle.com/classified/books/nonfiction/other/2017/4/15/%D8%A7%D9%84%D8%B1%D8%AC%D8%A7%D9%84-%D9%85%D9%86-%D8%A7%D9%84%D9%85%D8%B1%D9%8A%D8%AE-%D8%A7%D9%84%D9%86%D8%B3%D8%A7%D8%A1-%D9%85%D9%86-%D8%A7%D9%84%D8%B2%D9%87%D8%B1%D8%A9-2/?back=L2NsYXNzaWZpZWQvYm9va3MvP3BhZ2U9MQ%3D%3D&pos=4,AED 20,2017-04-15,جديد,لم يتم الاستخدام أبداً,بلا عيوب
9909552,كتب خاصة بدورة ICDL  الاصدار الخامس بسعر خيا...,https://abudhabi.dubizzle.com/classified/books/nonfiction/businesssciencetechnology/2017/4/15/7-%D9%83%D8%AA%D8%A8-%D8%AE%D8%A7%D8%B5%D8%A9-%D8%A8%D8%AF%D9%88%D8%B1%D8%A9-icdl-%D8%A7%D9%84%D8%A7%D8%B5%D8%AF%D8%A7%D8%B1-%D8%A7%D9%84%D8%AE%D8%A7%D9%85%D8%B3-%D8%A8%D8%B3%D8%B9%D8%B1--3/?back=L2NsYXNzaWZpZWQvYm9va3MvP3BhZ2U9MQ%3D%3D&pos=5,AED 70,2017-04-15,1-2 years,Used Once,Flawless
9909551,SAT chemistry book,https://abudhabi.dubizzle.com/classified/books/textbooks/a-levelshigh-school/2017/4/15/sat-chemistry-book-3/?back=L2NsYXNzaWZpZWQvYm9va3MvP3BhZ2U9MQ%3D%3D&pos=6,AED 60,2017-04-15,Brand New,Never Used,Flawless
9909550,Grade10 golden social guide,https://sharjah.dubizzle.com/classified/books/textbooks/a-levelshigh-school/2017/4/15/grade10-golden-social-guide-12/?back=L2NsYXNzaWZpZWQvYm9va3MvP3BhZ2U9MQ%3D%3D&pos=7,AED 20,2017-04-15,1-6 months,Light Usage,Flawless
9909549,Grade 10 term1 oswaal guides,https://sharjah.dubizzle.com/classified/books/textbooks/a-levelshigh-school/2017/4/15/grade-10-term1-oswaal-guides-12/?back=L2NsYXNzaWZpZWQvYm9va3MvP3BhZ2U9MQ%3D%3D&pos=8,AED 10,2017-04-15,1-6 months,Light Usage,Flawless
9909547,Grade10 maths RD SHARMA guide,https://sharjah.dubizzle.com/classified/books/textbooks/a-levelshigh-school/2017/4/15/grade10-maths-rd-sharma-guide-12/?back=L2NsYXNzaWZpZWQvYm9va3MvP3BhZ2U9MQ%3D%3D&pos=9,AED 25,2017-04-15,1-6 months,Light Usage,Flawless
9909546,TEN years of Time Out Dubai magazines - a pie...,https://dubai.dubizzle.com/classified/books/nonfiction/other/2017/4/15/ten-years-of-time-out-dubai-magazines-a-pi-2/?back=L2NsYXNzaWZpZWQvYm9va3MvP3BhZ2U9MQ%3D%3D&pos=10,AED 10,2017-04-15,10+ years,Normal Usage,Good
9909545,Mathville book-8 & more books,https://dubai.dubizzle.com/classified/books/textbooks/secondary-school/2017/4/15/mathville-book-8-amp-more-books-2/?back=L2NsYXNzaWZpZWQvYm9va3MvP3BhZ2U9MQ%3D%3D&pos=11,AED 5,2017-04-15,1-2 years,Normal Usage,Excellent
9909544,كتاب سير أعلام النبلاء,https://dubai.dubizzle.com/classified/books/nonfiction/historybiography/2017/4/15/%D9%83%D8%AA%D8%A7%D8%A8-%D8%B3%D9%8A%D8%B1-%D8%A3%D8%B9%D9%84%D8%A7%D9%85-%D8%A7%D9%84%D9%86%D8%A8%D9%84%D8%A7%D8%A1-2/?back=L2NsYXNzaWZpZWQvYm9va3MvP3BhZ2U9MQ%3D%3D&pos=12,AED 290,2017-04-15,0-1 month,Used Once,Flawless
9909543,4 x Pregnancy books for sale at 20AED each pl...,https://dubai.dubizzle.com/classified/books/nonfiction/sportshealth-books/2017/4/15/4-x-pregnancy-books-for-sale-at-20aed-each-2/?back=L2NsYXNzaWZpZWQvYm9va3MvP3BhZ2U9MQ%3D%3D&pos=13,AED 20,2017-04-15,6-12 months,Light Usage,Excellent
9909542,Used books,https://abudhabi.dubizzle.com/classified/books/textbooks/secondary-school/2017/4/15/used-books-3/?back=L2NsYXNzaWZpZWQvYm9va3MvP3BhZ2U9MQ%3D%3D&pos=14,AED 30,2017-04-15,1-2 years,Normal Usage,Good
9909541,Book shelf,https://abudhabi.dubizzle.com/classified/books/book-accessories/other/2017/4/15/book-shelf-3/?back=L2NsYXNzaWZpZWQvYm9va3MvP3BhZ2U9MQ%3D%3D&pos=15,AED 70,2017-04-15,5-10 years,Normal Usage,Excellent
9909539,IGCSE Physics past papers,https://sharjah.dubizzle.com/classified/books/textbooks/secondary-school/2017/4/15/igcse-physics-past-papers-12/?back=L2NsYXNzaWZpZWQvYm9va3MvP3BhZ2U9MQ%3D%3D&pos=16,AED 500,2017-04-15,جديد,لم يتم الاستخدام أبداً,بلا عيوب
9909537,Math past papers,https://sharjah.dubizzle.com/classified/books/textbooks/secondary-school/2017/4/15/math-past-papers-12/?back=L2NsYXNzaWZpZWQvYm9va3MvP3BhZ2U9MQ%3D%3D&pos=17,AED 500,2017-04-15,جديد,لم يتم الاستخدام أبداً,بلا عيوب
9909536,Guides/Support Books For Sale,https://dubai.dubizzle.com/classified/books/textbooks/secondary-school/2017/4/15/guidessupport-books-for-sale-2/?back=L2NsYXNzaWZpZWQvYm9va3MvP3BhZ2U9MQ%3D%3D&pos=18,AED 100,2017-04-15,6-12 months,Light Usage,Excellent
9909535,Past papers examination chemistry,https://sharjah.dubizzle.com/classified/books/textbooks/secondary-school/2017/4/15/past-papers-examination-chemistry-12/?back=L2NsYXNzaWZpZWQvYm9va3MvP3BhZ2U9MQ%3D%3D&pos=19,AED 500,2017-04-15,جديد,لم يتم الاستخدام أبداً,بلا عيوب
9909534,SAT 2 Subject books,https://dubai.dubizzle.com/classified/books/textbooks/a-levelshigh-school/2017/4/15/sat-2-subject-books-2/?back=L2NsYXNzaWZpZWQvYm9va3MvP3BhZ2U9MQ%3D%3D&pos=20,AED 75,2017-04-15,6-12 months,Light Usage,Excellent
9909533,book,https://abudhabi.dubizzle.com/classified/books/nonfiction/other/2017/4/15/book-3/?back=L2NsYXNzaWZpZWQvYm9va3MvP3BhZ2U9MQ%3D%3D&pos=21,AED 80,2017-04-15,0-1 month,Never Used,Flawless
9909532,Conspiracy 365,https://dubai.dubizzle.com/classified/books/fiction/actionadventure/2017/4/15/conspiracy-365-2/?back=L2NsYXNzaWZpZWQvYm9va3MvP3BhZ2U9MQ%3D%3D&pos=22,AED 120,2017-04-15,6-12 months,Light Usage,Excellent
9909531,Books,https://dubai.dubizzle.com/classified/books/fiction/other/2017/4/15/books-2/?back=L2NsYXNzaWZpZWQvYm9va3MvP3BhZ2U9MQ%3D%3D&pos=23,AED 15,2017-04-15,1-2 years,Normal Usage,Good
9909530,James Patterson books,https://dubai.dubizzle.com/classified/books/fiction/other/2017/4/15/james-patterson-books-2/?back=L2NsYXNzaWZpZWQvYm9va3MvP3BhZ2U9MQ%3D%3D&pos=24,AED 5,2017-04-15,2-5 years,Normal Usage,Excellent
9909528,Business managment self help books Urgent Sal...,https://dubai.dubizzle.com/classified/books/nonfiction/businesssciencetechnology/2017/4/15/business-managment-self-help-books-urgent--2/?back=L2NsYXNzaWZpZWQvYm9va3MvP3BhZ2U9MQ%3D%3D&pos=25,AED 20,2017-04-15,1-6 months,Never Used,Flawless
9909526,New Business setups and Renewal Licenses Offi...,https://dubai.dubizzle.com/classified/books/textbooks/a-levelshigh-school/2017/4/15/new-business-setups-and-renewal-licenses-o-2-2/?back=L2NsYXNzaWZpZWQvYm9va3MvP3BhZ2U9Mg%3D%3D&pos=28,AED 2000,2017-04-15,Brand New,Never Used,Flawless
9909525,New Business setups and Renewal Licenses Offi...,https://dubai.dubizzle.com/classified/books/textbooks/university/2017/4/15/new-business-setups-and-renewal-licenses-o-2/?back=L2NsYXNzaWZpZWQvYm9va3MvP3BhZ2U9Mg%3D%3D&pos=29,AED 2000,2017-04-15,Brand New,Never Used,Flawless
9909522,encylopedias for less,https://alain.dubizzle.com/classified/books/childrens-books/educational-books/2017/4/15/encylopedias-for-less-39/?back=L2NsYXNzaWZpZWQvYm9va3MvP3BhZ2U9Mg%3D%3D&pos=30,AED 40,2017-04-15,6-12 months,Used Once,Excellent
9909521,Tution classes available@Deira| Abu Hail| Hor...,https://dubai.dubizzle.com/classified/books/textbooks/primary-school/2017/4/15/tution-classes-available-deira-abu-hail-ho-2/?back=L2NsYXNzaWZpZWQvYm9va3MvP3BhZ2U9Mg%3D%3D&pos=31,AED 500,2017-04-15,2-5 years,Normal Usage,Good
9909520,The Secret Player,https://dubai.dubizzle.com/classified/books/nonfiction/historybiography/2017/4/15/the-secret-player-2/?back=L2NsYXNzaWZpZWQvYm9va3MvP3BhZ2U9Mg%3D%3D&pos=32,AED 1,2017-04-15,2-5 years,Light Usage,Excellent
9909519,Expat Leaving Books Sale,https://dubai.dubizzle.com/classified/books/nonfiction/other/2017/4/15/expat-leaving-books-sale-2/?back=L2NsYXNzaWZpZWQvYm9va3MvP3BhZ2U9Mg%3D%3D&pos=33,AED 10,2017-04-15,6-12 months,Used Once,Flawless
9909518,Grade 11 & 12 books for sale,https://dubai.dubizzle.com/classified/books/textbooks/a-levelshigh-school/2017/4/15/grade-11-amp-12-books-for-sale-2/?back=L2NsYXNzaWZpZWQvYm9va3MvP3BhZ2U9Mg%3D%3D&pos=34,AED 20,2017-04-15,Brand New,Never Used,Flawless
9909517,4 Technology Books,https://dubai.dubizzle.com/classified/books/nonfiction/businesssciencetechnology/2017/4/15/4-technology-books-2/?back=L2NsYXNzaWZpZWQvYm9va3MvP3BhZ2U9Mg%3D%3D&pos=35,AED 80,2017-04-15,2-5 years,Light Usage,Excellent
9909516,All 11th grade cbse commerce with maths books,https://dubai.dubizzle.com/classified/books/textbooks/secondary-school/2017/4/15/all-11th-grade-cbse-commerce-with-maths-bo-2/?back=L2NsYXNzaWZpZWQvYm9va3MvP3BhZ2U9Mg%3D%3D&pos=36,AED 50,2017-04-15,1-2 years,Light Usage,Flawless
9909515,Books for children,https://abudhabi.dubizzle.com/classified/books/childrens-books/picturepop-up-books/2017/4/15/books-for-children-3/?back=L2NsYXNzaWZpZWQvYm9va3MvP3BhZ2U9Mg%3D%3D&pos=37,AED 100,2017-04-15,1-2 years,Normal Usage,Flawless
9909514,Biology guides - Grade 11 - CBSE,https://abudhabi.dubizzle.com/classified/books/textbooks/secondary-school/2017/4/15/biology-guides-grade-11-cbse-3/?back=L2NsYXNzaWZpZWQvYm9va3MvP3BhZ2U9Mg%3D%3D&pos=38,AED 60,2017-04-15,1-6 months,Normal Usage,Flawless
9909513,Story books for sale,https://sharjah.dubizzle.com/classified/books/childrens-books/other/2017/4/15/story-books-for-sale-12/?back=L2NsYXNzaWZpZWQvYm9va3MvP3BhZ2U9Mg%3D%3D&pos=39,AED 5,2017-04-15,6-12 months,Light Usage,Flawless
9909512,Islamic book at 30,https://sharjah.dubizzle.com/classified/books/textbooks/primary-school/2017/4/15/islamic-book-at-30-12/?back=L2NsYXNzaWZpZWQvYm9va3MvP3BhZ2U9Mg%3D%3D&pos=40,AED 30,2017-04-15,1-2 years,Light Usage,Flawless
9909511,IB Physics| AP| SAT | SAT Subject| PSAT| SSAT...,https://dubai.dubizzle.com/classified/books/textbooks/a-levelshigh-school/2017/4/15/ib-physics-ap-sat-sat-subject-psat-ssat-bo-2/?back=L2NsYXNzaWZpZWQvYm9va3MvP3BhZ2U9Mg%3D%3D&pos=41,AED 20,2017-04-15,2-5 years,Light Usage,Excellent
9909510,Xam Idea Mathematics 12th 2015 Edition Book f...,https://sharjah.dubizzle.com/classified/books/textbooks/a-levelshigh-school/2017/4/15/xam-idea-mathematics-12th-2015-edition-boo-12/?back=L2NsYXNzaWZpZWQvYm9va3MvP3BhZ2U9Mg%3D%3D&pos=42,AED 20,2017-04-15,1-2 years,Light Usage,Good
